ip范围	位置
58.196.128.0-58.196.191.255	上海市 上海交通大学
59.78.0.0-59.78.1.255	上海交通大学闵行校区 东1楼
59.78.2.0-59.78.2.21	上海交通大学闵行校区 D02
59.78.2.22	上海交通大学闵行校区 D02-507
59.78.2.23-59.78.2.43	上海交通大学闵行校区 D02
59.78.2.44	上海交通大学闵行校区 D02-806
59.78.2.45-59.78.2.255	上海交通大学闵行校区 D02
59.78.3.0-59.78.3.3	上海交通大学闵行校区 D3楼
59.78.3.4	上海交通大学闵行校区 D3楼607室
59.78.3.5-59.78.3.6	上海交通大学闵行校区 D3楼
59.78.3.7	上海交通大学闵行校区 D3楼604室
59.78.3.8	上海交通大学闵行校区 D3楼
59.78.3.9	上海交通大学闵行校区 D3楼605室
59.78.3.10-59.78.3.11	上海交通大学闵行校区 D3楼
59.78.3.12	上海交通大学闵行校区 D3楼606室
59.78.3.13-59.78.3.27	上海交通大学闵行校区 D3楼
59.78.3.28	上海交通大学闵行校区 D3楼603室
59.78.3.29-59.78.3.255	上海交通大学闵行校区 D3楼
59.78.4.0-59.78.4.255	上海交通大学闵行校区 D4楼
59.78.5.0-59.78.5.255	上海交通大学闵行校区 D5楼
59.78.6.0-59.78.6.56	上海交通大学闵行校区 D6楼
59.78.6.57	上海交通大学闵行校区 D6楼405
59.78.6.58-59.78.6.255	上海交通大学闵行校区 D6楼
59.78.7.0-59.78.7.255	上海交通大学闵行校区 D7楼
59.78.8.0-59.78.8.255	上海交通大学闵行校区 D8楼
59.78.9.0-59.78.9.255	上海交通大学闵行校区 D9楼
59.78.10.0-59.78.10.255	上海交通大学闵行校区 D10楼
59.78.11.0-59.78.12.255	上海交通大学闵行校区 D11楼
59.78.13.0-59.78.13.255	上海交通大学闵行校区 D12楼
59.78.14.0-59.78.15.255	上海交通大学闵行校区 D13楼
59.78.16.0-59.78.16.62	上海交通大学闵行校区 D14楼
59.78.16.63	上海交通大学闵行校区 D14楼604
59.78.16.64-59.78.16.255	上海交通大学闵行校区 D14楼
59.78.17.0-59.78.17.255	上海交通大学闵行校区
59.78.18.0-59.78.19.255	上海交通大学闵行校区 D15楼
59.78.20.0-59.78.20.36	上海交通大学闵行校区 D17楼
59.78.20.37	上海交通大学闵行校区 D17楼507
59.78.20.38-59.78.20.72	上海交通大学闵行校区 D17楼
59.78.20.73	上海交通大学闵行校区 D17楼507
59.78.20.74-59.78.20.255	上海交通大学闵行校区 D17楼
59.78.21.0-59.78.22.5	上海交通大学闵行校区
59.78.22.6	上海交通大学闵行校区 D18-311
59.78.22.7-59.78.22.19	上海交通大学闵行校区
59.78.22.20	上海交通大学闵行校区 D18-311
59.78.22.21-59.78.22.67	上海交通大学闵行校区
59.78.22.68	上海交通大学闵行校区 D18-326
